,,,,,Year,Tuition and Fees type,Tuition Amount,2020 EQV
,,,,,1999,Inflation Adjusted,"34,530.92",1.553487395
,,,,,2000,Inflation Adjusted,"34,709.53",1.502967481
,,,,,2001,Inflation Adjusted,"35,085.71",1.462209041
,,,,,2002,Inflation Adjusted,"35,865.25",1.438638134
,,,,,2003,Inflation Adjusted,"36,433.65",1.406581522
,,,,,2004,Inflation Adjusted,"37,227.52",1.37009529
,,,,,2005,Inflation Adjusted,"37,989.43",1.325197132
,,,,,2006,Inflation Adjusted,"38,762.60",1.283784723
,,,,,2007,Inflation Adjusted,"39,686.30",1.248232388
,,,,,2008,Inflation Adjusted,"40,244.37",1.202078002
,,,,,2009,Inflation Adjusted,"42,372.54",1.206369998
,,,,,2010,Inflation Adjusted,"43,539.11",1.186901529
,,,,,2011,Inflation Adjusted,"44,741.57",1.150583047
,,,,,2012,Inflation Adjusted,"46,002.15",1.127255068
,,,,,2013,Inflation Adjusted,"47,604.46",1.110981854
,,,,,2014,Inflation Adjusted,"49,608.28",1.093247331
,,,,,2015,Inflation Adjusted,"51,284.58",1.091951211
,,,,,2016,Inflation Adjusted,"52,166.15",1.078347714
,,,,,2017,Inflation Adjusted,"52,738.87",1.055854275
,,,,,2018,Inflation Adjusted,"53,025.40",1.030680148
,,,,,2019,Inflation Adjusted,"53,171.98",1.012336842
,,,,,2020,Inflation Adjusted,"55,000.00",1
,,,,,1999,Non-Adjusted,"22,228",1.553487395
,,,,,2000,Non-Adjusted,"23,094",1.502967481
,,,,,2001,Non-Adjusted,"23,995",1.462209041
,,,,,2002,Non-Adjusted,"24,930",1.438638134
,,,,,2003,Non-Adjusted,"25,902",1.406581522
,,,,,2004,Non-Adjusted,"27,171",1.37009529
,,,,,2005,Non-Adjusted,"28,667",1.325197132
,,,,,2006,Non-Adjusted,"30,194",1.283784723
,,,,,2007,Non-Adjusted,"31,794",1.248232388
,,,,,2008,Non-Adjusted,"33,479",1.202078002
,,,,,2009,Non-Adjusted,"35,124",1.206369998
,,,,,2010,Non-Adjusted,"36,683",1.186901529
,,,,,2011,Non-Adjusted,"38,886",1.150583047
,,,,,2012,Non-Adjusted,"40,809",1.127255068
,,,,,2013,Non-Adjusted,"42,849",1.110981854
,,,,,2014,Non-Adjusted,"45,377",1.093247331
,,,,,2015,Non-Adjusted,"46,966",1.091951211
,,,,,2016,Non-Adjusted,"48,376",1.078347714
,,,,,2017,Non-Adjusted,"49,949",1.055854275
,,,,,2018,Non-Adjusted,"51,447",1.030680148
,,,,,2019,Non-Adjusted,"52,524",1.012336842
,,,,,2020,Non-Adjusted,"55,000",1
